SNo,Date,High,Low,Open,Close,Volume,Marketcap
1,11/04/2020 23:59,1.0490727,0.765020356,0.951053958,0.776818583,43862443.79,0
2,12/04/2020 23:59,0.956669837,0.7624262,0.785447714,0.882506928,38736897.02,0
3,13/04/2020 23:59,0.891602783,0.773976307,0.890759612,0.777831565,18211285.47,0
4,14/04/2020 23:59,0.796472357,0.62816943,0.777831565,0.661924825,16747614.12,0
5,15/04/2020 23:59,0.704963549,0.621531456,0.669289149,0.646650902,13075275.29,0
6,16/04/2020 23:59,0.774192228,0.625107413,0.630878816,0.690815875,21346031.35,0
7,17/04/2020 23:59,0.719613782,0.660727971,0.689312454,0.660727971,9870810.002,0
8,18/04/2020 23:59,0.717618209,0.659427087,0.660727971,0.681096335,9782111.9,0
9,19/04/2020 23:59,0.684641327,0.598486993,0.681515884,0.606969175,9289670.378,0
10,20/04/2020 23:59,0.639253716,0.520577817,0.612947581,0.53881213,8342616.421,0
11,21/04/2020 23:59,0.604586042,0.508549,0.54138671,0.587659156,9711507.448,0
12,22/04/2020 23:59,0.70696364,0.569620793,0.58116609,0.691600916,18828399.52,0
13,23/04/2020 23:59,0.698077,0.600321839,0.68534717,0.62745718,13485271.05,0
14,24/04/2020 23:59,0.671020012,0.613941111,0.624021172,0.634242221,9064190.267,0
15,25/04/2020 23:59,0.670948282,0.621547407,0.630528058,0.643329301,7311904.722,0
16,26/04/2020 23:59,0.691499392,0.63117058,0.653215035,0.635506344,8320760.357,0
17,27/04/2020 23:59,0.66028264,0.561027524,0.635713807,0.572371895,7406934.109,0
18,28/04/2020 23:59,0.692147511,0.568483718,0.57825273,0.661292515,7470201.223,0
19,29/04/2020 23:59,0.777771293,0.655273717,0.662285638,0.74584041,8801144.48,0
20,30/04/2020 23:59,0.800816479,0.687880525,0.747194537,0.691045421,5016891.641,0
21,01/05/2020 23:59,0.737071288,0.685902703,0.691045421,0.728793969,4164272.072,0
22,02/05/2020 23:59,0.748980799,0.707903537,0.727267604,0.715876412,3441355.737,0
23,03/05/2020 23:59,0.729800516,0.656615623,0.714795754,0.679534571,3328343.607,0
24,04/05/2020 23:59,0.70581247,0.618433606,0.679625172,0.66749077,3443697.818,0
25,05/05/2020 23:59,0.686214207,0.626498811,0.673440457,0.641837363,2847469.341,0
26,06/05/2020 23:59,0.67389082,0.622583599,0.642454188,0.622583599,2677562.974,0
27,07/05/2020 23:59,0.632267767,0.573375617,0.622583599,0.612977957,3355830.236,0
28,08/05/2020 23:59,0.636618368,0.589851786,0.612977957,0.604922121,2488194.573,0
29,09/05/2020 23:59,0.625429237,0.58844783,0.604041501,0.604527391,2128502.761,0
30,10/05/2020 23:59,0.612303183,0.513080873,0.60446073,0.537033912,2327580.796,0
31,11/05/2020 23:59,0.571860148,0.505193637,0.536255007,0.515272785,2098480.829,0
32,12/05/2020 23:59,0.559758569,0.505251194,0.513390528,0.53857565,2198624.878,0
33,13/05/2020 23:59,0.564874232,0.5180383,0.53837157,0.550531657,2326445.53,0
34,14/05/2020 23:59,0.580945682,0.550109684,0.550531657,0.56911761,2047896.793,0
35,15/05/2020 23:59,0.574619595,0.547093142,0.569193357,0.559752025,1850070.454,0
36,16/05/2020 23:59,0.606534222,0.554360781,0.558980888,0.599120273,2300409.146,0
37,17/05/2020 23:59,0.640195873,0.589175125,0.59522828,0.612988807,2936428.449,0
38,18/05/2020 23:59,0.674393486,0.609649043,0.612682413,0.65267017,3314358.531,0
39,19/05/2020 23:59,0.654480369,0.611248109,0.65097436,0.624454265,2380263.043,0
40,20/05/2020 23:59,0.626655821,0.575282652,0.622475105,0.579155667,2302926.397,0
41,21/05/2020 23:59,0.613789325,0.543345618,0.579691537,0.608915324,2863016.802,0
42,22/05/2020 23:59,0.676431961,0.582829718,0.605238715,0.638875071,3411419.382,0
43,23/05/2020 23:59,0.638848874,0.588247319,0.637414622,0.61303141,2638523.849,0
44,24/05/2020 23:59,0.613288867,0.548431875,0.613288867,0.549053085,2786816.202,0
45,25/05/2020 23:59,0.650137993,0.538063658,0.548570201,0.600857275,4509580.339,0
46,26/05/2020 23:59,0.612353062,0.566463215,0.59910435,0.57330666,2689697.324,0
47,27/05/2020 23:59,0.611086848,0.57144342,0.57330666,0.590984627,2536915.559,0
48,28/05/2020 23:59,0.59239768,0.566947776,0.590883627,0.575155463,2662787.871,0
49,29/05/2020 23:59,0.593405202,0.566858417,0.57469878,0.579415408,2066857.454,0
50,30/05/2020 23:59,0.602489268,0.567050102,0.581355069,0.587932798,2449094.839,0
51,31/05/2020 23:59,0.593997497,0.569244662,0.587902738,0.57002202,1892967.09,0
52,01/06/2020 23:59,0.587838889,0.567347938,0.57347236,0.577495157,2159877.159,0
53,02/06/2020 23:59,0.589724657,0.552294366,0.577142179,0.564669433,1295757.464,9741011.256
54,03/06/2020 23:59,0.591025168,0.56446123,0.564669433,0.586620622,877446.1845,10119647.94
55,04/06/2020 23:59,0.591640039,0.564517552,0.586867254,0.587299493,901641.2518,10131321.14
56,05/06/2020 23:59,0.698279296,0.577925164,0.587299493,0.661154642,4322091.655,11405328.74
57,06/06/2020 23:59,0.661618789,0.611780567,0.661071495,0.622442695,1604055.157,10737481.2
58,07/06/2020 23:59,0.624443862,0.593397963,0.622442695,0.616577854,716785.4694,10636269.83
59,08/06/2020 23:59,0.6790014,0.613310187,0.61507796,0.668313066,1440233.824,11528696.1
60,09/06/2020 23:59,0.668088173,0.627242315,0.667784235,0.658002498,988327.4389,11350793.51
